Filename,First Author,Year,Findings,Keywords
Reddie - Next-generation wargames (2018).pdf,Reddie,2018,"The paper discusses the evolution of wargames in military and policy-making contexts, the challenges associated with current simulation and wargaming tools, and the potential of experimental gaming approaches to generate human-derived datasets for analysis.","wargames, simulation tools, experimental gaming, policy-making, data analysis"
Riley Simmons-Edler -  AI-Powered Autonomous Weapons Risk Geopolitical Instability and Threaten AI Research (2024).pdf,Riley Simmons-Edler,2024,"The development of AI-powered autonomous weapons systems poses serious risks to geopolitical stability, increases the likelihood of conflicts, and may lead to an AI arms race. The use of autonomous weapons could have negative effects on global stability and AI research.","AI-powered autonomous weapons, geopolitical instability, AI research"
"Sahar_Abdelnabi_Cooperation,_Competition,_and_Maliciousness_LLM-Stakeholders_Interactive_Negotiation_2024.pdf",Sahar,2024,"LLMs struggle in complex negotiation games requiring cooperation, competition, and strategic planning. GPT-4 and other large models underperform in dynamic multi-agent setups. Adversarial agents can manipulate negotiation outcomes, highlighting AI safety concerns.","Large Language Models, multi-agent systems, negotiation, cooperation, competition, manipulation, AI safety"
Shannon_Monahan_Autonomous_Agent_that_Provides_Automated_Feedback_Improves_Negotiation_Skills_2018.pdf,Shannon Monahan,2018,"Participants who received automated individualized feedback after the first negotiation showed significantly greater improvement in the strength of their first offer, concession curve, and final outcome in the negotiation.","Negotiation, Individualized feedback, Automated metrics"
Shibani_Santurkar_Whose_Opinions_Do_Language_Models_Reflect_2023.pdf,Shibani,2023,"Current language models reflect substantial misalignment with the opinions of various US demographic groups, even after attempts to steer them towards specific groups. Left-leaning tendencies are observed in some human feedback-tuned models, while certain groups like 65+ and widowed individuals are poorly represented by all models.","Language models, Opinions, Alignment"
Tian_Liang_Encouraging_Divergent_Thinking_in_Large_Language_Models_through_Multi-Agent_Debate_2024.pdf,Tian Liang,2024,"Self-reflection methods in large language models suffer from the Degeneration-of-Thought problem, hindering the generation of novel ideas. The Multi-Agent Debate framework encourages divergent thinking in models, outperforming baseline methods on challenging tasks.","Large Language Models, Self-Reflection, Degeneration-of-Thought, Multi-Agent Debate, Divergent Thinking"
Tim_R._Davidson_EVALUATING_LANGUAGE_MODEL_AGENCY_THROUGH_NEGOTIATIONS_2024.pdf,Tim R. Davidson,2024,"Closed-source models performed better in negotiation games, cooperative bargaining games were challenging for models, and even powerful models sometimes lost to weaker opponents.","language model agency, negotiation games, LM performance evaluation"
Tom_Sühr_Challenging_the_Validity_of_Personality_Tests_for_Large_Language_Models_2024.pdf,Tom Sühr,2024,"Large language models' responses to personality tests deviate from human responses, making interpretation challenging. LLMs fail to replicate the five-factor structure found in human samples when prompted to imitate different personas.","Large Language Models, Personality Tests, Measurement Invariance"
Tom_Young_From_Knowledge_Augmentation_to_Multi-tasking_Towards_Human-like_Dialogue_Systems_2022.pdf,Tom Young,2022,"The paper discusses the transition from knowledge augmentation to multi-tasking in human-like dialogue systems, focusing on task-oriented and open-domain dialogues, grounding dialogues on audio modality, commonsense knowledge, and improving computational efficiency of response retrieval.","dialogue systems, multi-tasking, task-oriented dialogues, commonsense knowledge, audio modality, response retrieval, computational efficiency"
Trieu H. Trinh - Solving olympiad geometry without human demonstrations (2024).pdf,Trieu H. Trinh,2024,"AlphaGeometry, a neuro-symbolic system, solves 25 out of 30 latest olympiad-level geometry problems, produces human-readable proofs, and outperforms previous methods.","Automated reasoning, Theorem proving, Geometry, AlphaGeometry, Neuro-symbolic system"
Volodymyr Mnih - Human-level control through deep reinforcement learning (2015).pdf,Volodymyr Mnih,2015,"The paper introduces a deep Q-network agent that combines reinforcement learning with deep neural networks, enabling it to excel at a diverse array of challenging tasks, surpassing human-level performance in classic Atari 2600 games. The agent learns directly from high-dimensional sensory inputs, bridging the gap between sensory inputs and actions.","deep reinforcement learning, deep Q-network, Atari 2600 games"
Yadong_Zhang_A_Survey_of_Strategic_Reasoning_with_Large_Language_Models_2024.pdf,Yadong Zhang,2024,"Large Language Models (LLMs) are being increasingly utilized for strategic reasoning, enabling AI to understand and predict adversary actions in multi-agent settings. Strategic reasoning with LLMs involves adjusting strategies based on dynamic and uncertain interactions among agents, showcasing potential in decision-making across various domains.","Large Language Models, Strategic Reasoning, Decision-making"
Yao_Fu_Improving_Language_Model_Negotiation_with_Self-Play_and_In-Context_Learning_from_AI_Feedback_2023.pdf,Yao,2023,1. Strong language models can autonomously improve negotiation strategies through self-play and AI feedback. 2. Models vary in their ability to learn from feedback based on the role they play in the negotiation. 3. Continuously improving negotiation performance through iterative AI feedback may lead to a higher risk of deal breakdown.,"Language Models, Negotiation, Self-Play, AI Feedback, Autonomous Learning"
Yilun_Du_Improving_Factuality_and_Reasoning_in_Language_Models_through_Multiagent_Debate_2023.pdf,Yilun Du,2023,"Multiagent debate among language model instances improves mathematical and strategic reasoning, enhances factual validity of generated content, reduces fallacious answers and hallucinations, and leads to convergence on more accurate common answers. The approach outperforms single model baselines on various reasoning and factuality tasks.","Language models, Multiagent debate, Factual accuracy, Reasoning improvement"
Yiran_Wu_MATHCHAT_CONVERSE_TO_TACKLE_CHALLENGING_MATH_PROBLEMS_WITH_LLM_AGENTS_2024.pdf,Yiran Wu,2024,"MathChat, a conversational problem-solving framework using LLM agents, improves math problem-solving by 6% compared to previous methods. The framework shows 60% accuracy on half of the problem categories and competitive performance overall.","Large Language Models, Mathematical Problem-solving, Conversational AI"
Yuncheng_Hua_Assistive_Large_Language_Model_Agents_for_Socially-Aware_Negotiation_Dialogues_2024.pdf,Yuncheng Hua,2024,"The paper introduces assistive agents based on Large Language Models (LLMs) to aid in business negotiations by simulating negotiations and using a remediator agent to correct language violations. The study shows that the proposed In-Context Learning (ICL) method with a novel selection criteria, 'value impact', effectively improves negotiation outcomes and social norm adherence.","assistive agents, Large Language Models (LLMs), business negotiations, social intelligence, In-Context Learning (ICL), value impact"
"Zekun_Moore_Wang_RoleLLM_Benchmarking,_Eliciting,_and_Enhancing_Role-Playing_Abilities_of_Large_Language_Models_2024.pdf",Zekun,2024,"RoleLLM framework enhances role-playing abilities in Large Language Models through role profile construction, context-based instruction generation, role prompting, and role-conditioned instruction tuning. RoleBench dataset improves role-playing performance, and RoleLLaMA and RoleGLM achieve comparable results with RoleGPT.","Large Language Models, role-playing abilities, RoleLLM framework"
Zhe_Hu_Unlocking_Varied_Perspectives_A_Persona-Based_Multi-Agent_Framework_with_Debate-Driven_Text_Planning_for_Argument_Generation_2024.pdf,Zhe Hu,2024,"The paper introduces a persona-based multi-agent framework for argument generation, where agents with unique perspectives collaborate through debate-driven text planning to create diverse and persuasive arguments. The framework outperforms current language models in generating coherent and varied argumentative essays.","argument generation, persona-based framework, multi-agent system, debate-driven planning, perspective diversity"
